Date,NW 58th St Greenway st 22nd Ave NW Total,East,West
04/27/2014 02:00:00 AM,1,0,1
04/27/2014 03:00:00 AM,0,0,0
04/27/2014 04:00:00 AM,0,0,0
04/27/2014 05:00:00 AM,3,2,1
04/27/2014 06:00:00 AM,0,0,0
04/27/2014 07:00:00 AM,5,5,0
04/27/2014 08:00:00 AM,12,5,7
04/27/2014 09:00:00 AM,30,20,10
04/27/2014 10:00:00 AM,62,34,28
04/27/2014 11:00:00 AM,90,48,42
04/27/2014 12:00:00 PM,67,44,23
04/27/2014 01:00:00 PM,77,43,34
04/27/2014 02:00:00 PM,51,38,13
04/27/2014 03:00:00 PM,36,19,17
04/27/2014 04:00:00 PM,55,38,17
04/27/2014 05:00:00 PM,24,11,13
04/27/2014 06:00:00 PM,38,17,21
04/27/2014 07:00:00 PM,33,16,17
04/27/2014 08:00:00 PM,16,10,6
04/27/2014 09:00:00 PM,3,1,2
04/27/2014 10:00:00 PM,6,5,1
04/27/2014 11:00:00 PM,5,5,0
04/28/2014 12:00:00 AM,0,0,0
04/28/2014 01:00:00 AM,4,4,0
04/28/2014 02:00:00 AM,0,0,0
04/28/2014 03:00:00 AM,4,3,1
04/28/2014 04:00:00 AM,2,2,0
04/28/2014 05:00:00 AM,6,0,6
04/28/2014 06:00:00 AM,2,1,1
04/28/2014 07:00:00 AM,36,27,9
04/28/2014 08:00:00 AM,30,18,12
04/28/2014 09:00:00 AM,40,29,11
04/28/2014 10:00:00 AM,18,17,1
04/28/2014 11:00:00 AM,27,17,10
04/28/2014 12:00:00 PM,40,23,17
04/28/2014 01:00:00 PM,38,23,15
04/28/2014 02:00:00 PM,32,21,11
04/28/2014 03:00:00 PM,35,20,15
04/28/2014 04:00:00 PM,41,26,15
04/28/2014 05:00:00 PM,49,20,29
04/28/2014 06:00:00 PM,47,28,19
04/28/2014 07:00:00 PM,26,19,7
04/28/2014 08:00:00 PM,26,17,9
04/28/2014 09:00:00 PM,4,2,2
04/28/2014 10:00:00 PM,6,4,2
04/28/2014 11:00:00 PM,2,2,0
04/29/2014 12:00:00 AM,2,2,0
04/29/2014 01:00:00 AM,0,0,0
04/29/2014 02:00:00 AM,0,0,0
04/29/2014 03:00:00 AM,0,0,0
04/29/2014 04:00:00 AM,0,0,0
04/29/2014 05:00:00 AM,6,5,1
04/29/2014 06:00:00 AM,13,9,4
04/29/2014 07:00:00 AM,28,22,6
04/29/2014 08:00:00 AM,21,13,8
04/29/2014 09:00:00 AM,49,28,21
04/29/2014 10:00:00 AM,20,9,11
04/29/2014 11:00:00 AM,37,18,19
04/29/2014 12:00:00 PM,46,29,17
04/29/2014 01:00:00 PM,32,21,11
04/29/2014 02:00:00 PM,28,16,12
04/29/2014 03:00:00 PM,39,25,14
04/29/2014 04:00:00 PM,35,22,13
04/29/2014 05:00:00 PM,50,34,16
04/29/2014 06:00:00 PM,69,32,37
04/29/2014 07:00:00 PM,58,33,25
04/29/2014 08:00:00 PM,32,21,11
04/29/2014 09:00:00 PM,12,10,2
04/29/2014 10:00:00 PM,6,2,4
04/29/2014 11:00:00 PM,5,2,3
04/30/2014 12:00:00 AM,6,4,2
04/30/2014 01:00:00 AM,2,2,0
04/30/2014 02:00:00 AM,2,2,0
04/30/2014 03:00:00 AM,0,0,0
04/30/2014 04:00:00 AM,1,1,0
04/30/2014 05:00:00 AM,2,2,0
04/30/2014 06:00:00 AM,11,8,3
04/30/2014 07:00:00 AM,24,13,11
04/30/2014 08:00:00 AM,28,13,15
04/30/2014 09:00:00 AM,37,19,18
04/30/2014 10:00:00 AM,21,14,7
04/30/2014 11:00:00 AM,48,31,17
04/30/2014 12:00:00 PM,38,24,14
04/30/2014 01:00:00 PM,35,24,11
04/30/2014 02:00:00 PM,47,33,14
04/30/2014 03:00:00 PM,41,22,19
04/30/2014 04:00:00 PM,56,37,19
04/30/2014 05:00:00 PM,69,39,30
04/30/2014 06:00:00 PM,60,33,27
04/30/2014 07:00:00 PM,66,43,23
04/30/2014 08:00:00 PM,26,15,11
04/30/2014 09:00:00 PM,32,23,9
04/30/2014 10:00:00 PM,13,6,7
04/30/2014 11:00:00 PM,7,5,2
04/01/2015 12:00:00 AM,5,5,0
04/01/2015 01:00:00 AM,0,0,0
04/01/2015 02:00:00 AM,0,0,0
04/01/2015 03:00:00 AM,0,0,0
04/01/2015 04:00:00 AM,1,0,1
04/01/2015 05:00:00 AM,1,0,1
04/01/2015 06:00:00 AM,0,0,0
04/01/2015 07:00:00 AM,9,6,3
04/01/2015 08:00:00 AM,8,4,4
04/01/2015 09:00:00 AM,9,3,6
04/01/2015 10:00:00 AM,7,4,3
04/01/2015 11:00:00 AM,4,2,2
04/01/2015 12:00:00 PM,10,4,6
04/01/2015 01:00:00 PM,10,6,4
04/01/2015 02:00:00 PM,7,3,4
04/01/2015 03:00:00 PM,6,4,2
04/01/2015 04:00:00 PM,6,3,3
04/01/2015 05:00:00 PM,18,11,7
04/01/2015 06:00:00 PM,13,4,9
04/01/2015 07:00:00 PM,5,4,1
04/01/2015 08:00:00 PM,2,1,1
04/01/2015 09:00:00 PM,1,0,1
04/01/2015 10:00:00 PM,4,1,3
04/01/2015 11:00:00 PM,1,1,0
04/02/2015 12:00:00 AM,0,0,0
04/02/2015 01:00:00 AM,1,0,1
04/02/2015 02:00:00 AM,0,0,0
04/02/2015 03:00:00 AM,0,0,0
04/02/2015 04:00:00 AM,1,0,1
04/02/2015 05:00:00 AM,1,0,1
04/02/2015 06:00:00 AM,1,0,1
04/02/2015 07:00:00 AM,5,2,3
04/02/2015 08:00:00 AM,5,1,4
04/02/2015 09:00:00 AM,3,1,2
04/02/2015 10:00:00 AM,3,3,0
04/02/2015 11:00:00 AM,4,2,2
04/02/2015 12:00:00 PM,5,3,2
04/02/2015 01:00:00 PM,8,2,6
04/02/2015 02:00:00 PM,3,1,2
04/02/2015 03:00:00 PM,7,2,5
04/02/2015 04:00:00 PM,23,10,13
04/02/2015 05:00:00 PM,20,8,12
04/02/2015 06:00:00 PM,23,11,12
04/02/2015 07:00:00 PM,12,9,3
04/02/2015 08:00:00 PM,3,3,0
04/02/2015 09:00:00 PM,3,1,2
04/02/2015 10:00:00 PM,2,1,1
04/02/2015 11:00:00 PM,3,2,1
04/03/2015 12:00:00 AM,0,0,0
04/03/2015 01:00:00 AM,0,0,0
04/03/2015 02:00:00 AM,0,0,0
04/03/2015 03:00:00 AM,0,0,0
04/03/2015 04:00:00 AM,0,0,0
04/03/2015 05:00:00 AM,1,0,1
04/03/2015 06:00:00 AM,1,0,1
04/03/2015 07:00:00 AM,4,2,2
04/03/2015 08:00:00 AM,12,4,8
04/03/2015 09:00:00 AM,12,9,3
04/03/2015 10:00:00 AM,6,4,2
04/03/2015 11:00:00 AM,9,8,1
04/03/2015 12:00:00 PM,5,2,3
04/03/2015 01:00:00 PM,11,6,5
04/03/2015 02:00:00 PM,5,1,4
04/03/2015 03:00:00 PM,5,5,0
04/03/2015 04:00:00 PM,2,1,1
04/03/2015 05:00:00 PM,17,8,9
04/03/2015 06:00:00 PM,8,5,3
04/03/2015 07:00:00 PM,5,1,4
04/03/2015 08:00:00 PM,1,0,1
04/03/2015 09:00:00 PM,2,0,2
04/03/2015 10:00:00 PM,2,2,0
04/03/2015 11:00:00 PM,1,0,1
04/04/2015 12:00:00 AM,0,0,0
04/04/2015 01:00:00 AM,0,0,0
04/04/2015 02:00:00 AM,1,1,0
04/04/2015 03:00:00 AM,0,0,0
04/04/2015 04:00:00 AM,0,0,0
04/04/2015 05:00:00 AM,0,0,0
04/04/2015 06:00:00 AM,1,0,1
04/04/2015 07:00:00 AM,0,0,0
04/04/2015 08:00:00 AM,4,0,4
04/04/2015 09:00:00 AM,6,1,5
04/04/2015 10:00:00 AM,9,4,5
04/04/2015 11:00:00 AM,9,5,4
04/04/2015 12:00:00 PM,9,5,4
04/04/2015 01:00:00 PM,27,21,6
04/04/2015 02:00:00 PM,14,10,4
04/04/2015 03:00:00 PM,11,7,4
04/04/2015 04:00:00 PM,16,8,8
04/04/2015 05:00:00 PM,18,6,12
04/04/2015 06:00:00 PM,12,9,3
04/04/2015 07:00:00 PM,15,7,8
04/04/2015 08:00:00 PM,4,1,3
04/04/2015 09:00:00 PM,5,3,2
04/04/2015 10:00:00 PM,2,1,1
04/04/2015 11:00:00 PM,1,1,0
04/05/2015 12:00:00 AM,2,2,0
04/05/2015 01:00:00 AM,2,0,2
04/05/2015 02:00:00 AM,0,0,0
04/05/2015 03:00:00 AM,1,1,0
04/05/2015 04:00:00 AM,1,0,1
04/05/2015 05:00:00 AM,1,0,1
04/05/2015 06:00:00 AM,2,1,1
04/05/2015 07:00:00 AM,1,0,1
04/05/2015 08:00:00 AM,2,0,2
04/05/2015 09:00:00 AM,10,1,9
04/05/2015 10:00:00 AM,16,10,6
04/05/2015 11:00:00 AM,13,8,5
04/05/2015 12:00:00 PM,22,5,17
04/05/2015 01:00:00 PM,11,3,8
04/05/2015 02:00:00 PM,22,19,3
04/05/2015 03:00:00 PM,18,12,6
04/05/2015 04:00:00 PM,8,5,3
04/05/2015 05:00:00 PM,20,12,8
04/05/2015 06:00:00 PM,7,7,0
04/05/2015 07:00:00 PM,7,0,7
04/05/2015 08:00:00 PM,8,5,3
04/05/2015 09:00:00 PM,0,0,0
04/05/2015 10:00:00 PM,0,0,0
04/05/2015 11:00:00 PM,0,0,0
04/06/2015 12:00:00 AM,0,0,0
04/06/2015 01:00:00 AM,0,0,0
04/06/2015 02:00:00 AM,0,0,0
04/06/2015 03:00:00 AM,0,0,0
04/06/2015 04:00:00 AM,0,0,0
04/06/2015 05:00:00 AM,1,0,1
04/06/2015 06:00:00 AM,4,0,4
04/06/2015 07:00:00 AM,8,3,5
04/06/2015 08:00:00 AM,12,7,5
04/06/2015 09:00:00 AM,10,7,3
04/06/2015 10:00:00 AM,10,3,7
04/06/2015 11:00:00 AM,4,2,2
04/06/2015 12:00:00 PM,15,8,7
04/06/2015 01:00:00 PM,8,4,4
04/06/2015 02:00:00 PM,10,6,4
04/06/2015 03:00:00 PM,9,6,3
04/06/2015 04:00:00 PM,11,7,4
04/06/2015 05:00:00 PM,20,11,9
04/06/2015 06:00:00 PM,11,6,5
04/06/2015 07:00:00 PM,8,4,4
04/06/2015 08:00:00 PM,7,6,1
04/06/2015 09:00:00 PM,8,4,4
04/06/2015 10:00:00 PM,2,2,0
04/06/2015 11:00:00 PM,0,0,0
04/07/2015 12:00:00 AM,2,2,0
04/07/2015 01:00:00 AM,2,0,2
04/07/2015 02:00:00 AM,0,0,0
04/07/2015 03:00:00 AM,1,1,0
04/07/2015 04:00:00 AM,1,0,1
04/07/2015 05:00:00 AM,0,0,0
04/07/2015 06:00:00 AM,1,0,1
04/07/2015 07:00:00 AM,3,3,0
04/07/2015 08:00:00 AM,7,3,4
04/07/2015 09:00:00 AM,10,5,5
04/07/2015 10:00:00 AM,6,6,0
04/07/2015 11:00:00 AM,3,2,1
04/07/2015 12:00:00 PM,9,8,1
04/07/2015 01:00:00 PM,9,5,4
04/07/2015 02:00:00 PM,6,4,2
04/07/2015 03:00:00 PM,6,4,2
04/07/2015 04:00:00 PM,3,2,1
04/07/2015 05:00:00 PM,21,10,11
04/07/2015 06:00:00 PM,11,3,8
04/07/2015 07:00:00 PM,15,1,14
04/07/2015 08:00:00 PM,2,0,2
04/07/2015 09:00:00 PM,7,6,1
04/07/2015 10:00:00 PM,1,1,0
04/07/2015 11:00:00 PM,2,2,0
04/08/2015 12:00:00 AM,1,0,1
04/08/2015 01:00:00 AM,0,0,0
04/08/2015 02:00:00 AM,0,0,0
04/08/2015 03:00:00 AM,0,0,0
04/08/2015 04:00:00 AM,0,0,0
04/08/2015 05:00:00 AM,0,0,0
04/08/2015 06:00:00 AM,2,0,2
04/08/2015 07:00:00 AM,6,3,3
04/08/2015 08:00:00 AM,13,4,9
04/08/2015 09:00:00 AM,7,2,5
04/08/2015 10:00:00 AM,5,4,1
04/08/2015 11:00:00 AM,5,3,2
04/08/2015 12:00:00 PM,5,3,2
04/08/2015 01:00:00 PM,11,5,6
04/08/2015 02:00:00 PM,6,3,3
04/08/2015 03:00:00 PM,4,2,2
04/08/2015 04:00:00 PM,12,4,8
04/08/2015 05:00:00 PM,19,7,12
04/08/2015 06:00:00 PM,26,12,14
04/08/2015 07:00:00 PM,13,8,5
04/08/2015 08:00:00 PM,16,9,7
04/08/2015 09:00:00 PM,2,2,0
04/08/2015 10:00:00 PM,3,2,1
04/08/2015 11:00:00 PM,1,1,0
04/09/2015 12:00:00 AM,0,0,0
04/09/2015 01:00:00 AM,0,0,0
04/09/2015 02:00:00 AM,0,0,0
04/09/2015 03:00:00 AM,0,0,0
04/09/2015 04:00:00 AM,1,0,1
04/09/2015 05:00:00 AM,2,2,0
04/09/2015 06:00:00 AM,3,0,3
04/09/2015 07:00:00 AM,8,3,5
04/09/2015 08:00:00 AM,13,8,5
04/09/2015 09:00:00 AM,6,2,4
04/09/2015 10:00:00 AM,9,4,5
04/09/2015 11:00:00 AM,4,2,2
04/09/2015 12:00:00 PM,7,3,4
04/09/2015 01:00:00 PM,10,5,5
04/09/2015 02:00:00 PM,9,8,1
04/09/2015 03:00:00 PM,12,3,9
04/09/2015 04:00:00 PM,14,5,9
04/09/2015 05:00:00 PM,27,17,10
04/09/2015 06:00:00 PM,23,8,15
04/09/2015 07:00:00 PM,11,11,0
04/09/2015 08:00:00 PM,6,4,2
04/09/2015 09:00:00 PM,4,4,0
04/09/2015 10:00:00 PM,2,0,2
04/09/2015 11:00:00 PM,2,2,0
04/10/2015 12:00:00 AM,0,0,0
04/10/2015 01:00:00 AM,0,0,0
04/10/2015 02:00:00 AM,2,2,0
04/10/2015 03:00:00 AM,0,0,0
04/10/2015 04:00:00 AM,0,0,0
04/10/2015 05:00:00 AM,1,0,1
04/10/2015 06:00:00 AM,1,0,1
04/10/2015 07:00:00 AM,9,8,1
04/10/2015 08:00:00 AM,6,0,6
04/10/2015 09:00:00 AM,12,6,6
04/10/2015 10:00:00 AM,6,2,4
04/10/2015 11:00:00 AM,13,3,10
04/10/2015 12:00:00 PM,10,4,6
04/10/2015 01:00:00 PM,5,4,1
04/10/2015 02:00:00 PM,9,5,4
04/10/2015 03:00:00 PM,7,5,2
04/10/2015 04:00:00 PM,6,5,1
04/10/2015 05:00:00 PM,13,5,8
04/10/2015 06:00:00 PM,5,2,3
04/10/2015 07:00:00 PM,3,2,1
04/10/2015 08:00:00 PM,1,1,0
04/10/2015 09:00:00 PM,2,0,2
04/10/2015 10:00:00 PM,0,0,0
04/10/2015 11:00:00 PM,3,2,1
04/11/2015 12:00:00 AM,0,0,0
04/11/2015 01:00:00 AM,0,0,0
04/11/2015 02:00:00 AM,0,0,0
04/11/2015 03:00:00 AM,0,0,0
04/11/2015 04:00:00 AM,0,0,0
04/11/2015 05:00:00 AM,0,0,0
04/11/2015 06:00:00 AM,0,0,0
04/11/2015 07:00:00 AM,0,0,0
04/11/2015 08:00:00 AM,0,0,0
04/11/2015 09:00:00 AM,0,0,0
04/11/2015 10:00:00 AM,0,0,0
04/11/2015 11:00:00 AM,0,0,0
04/11/2015 12:00:00 PM,0,0,0
04/11/2015 01:00:00 PM,0,0,0
04/11/2015 02:00:00 PM,0,0,0
04/11/2015 03:00:00 PM,0,0,0
04/11/2015 04:00:00 PM,0,0,0
04/11/2015 05:00:00 PM,0,0,0
04/11/2015 06:00:00 PM,0,0,0
04/11/2015 07:00:00 PM,0,0,0
04/11/2015 08:00:00 PM,0,0,0
04/11/2015 09:00:00 PM,0,0,0
04/11/2015 10:00:00 PM,0,0,0
04/11/2015 11:00:00 PM,0,0,0
04/12/2015 12:00:00 AM,0,0,0
04/12/2015 01:00:00 AM,0,0,0
04/12/2015 02:00:00 AM,0,0,0
04/12/2015 03:00:00 AM,0,0,0
04/12/2015 04:00:00 AM,0,0,0
04/12/2015 05:00:00 AM,0,0,0
04/12/2015 06:00:00 AM,0,0,0
04/12/2015 07:00:00 AM,0,0,0
04/12/2015 08:00:00 AM,0,0,0
04/12/2015 09:00:00 AM,0,0,0
04/12/2015 10:00:00 AM,0,0,0
04/12/2015 11:00:00 AM,0,0,0
04/12/2015 12:00:00 PM,0,0,0
04/12/2015 01:00:00 PM,0,0,0
04/12/2015 02:00:00 PM,0,0,0
04/12/2015 03:00:00 PM,0,0,0
04/12/2015 04:00:00 PM,0,0,0
04/12/2015 05:00:00 PM,0,0,0
04/12/2015 06:00:00 PM,0,0,0
04/12/2015 07:00:00 PM,0,0,0
04/12/2015 08:00:00 PM,0,0,0
04/12/2015 09:00:00 PM,0,0,0
04/12/2015 10:00:00 PM,0,0,0
04/12/2015 11:00:00 PM,0,0,0
04/13/2015 12:00:00 AM,0,0,0
04/13/2015 01:00:00 AM,0,0,0
04/13/2015 02:00:00 AM,0,0,0
04/13/2015 03:00:00 AM,0,0,0
04/13/2015 04:00:00 AM,0,0,0
04/13/2015 05:00:00 AM,0,0,0
04/13/2015 06:00:00 AM,0,0,0
04/13/2015 07:00:00 AM,4,3,1
04/13/2015 08:00:00 AM,6,3,3
04/13/2015 09:00:00 AM,7,2,5
04/13/2015 10:00:00 AM,1,0,1
04/13/2015 11:00:00 AM,5,1,4
04/13/2015 12:00:00 PM,6,4,2
04/13/2015 01:00:00 PM,7,5,2
04/13/2015 02:00:00 PM,6,4,2
04/13/2015 03:00:00 PM,1,0,1
04/13/2015 04:00:00 PM,3,3,0
04/13/2015 05:00:00 PM,16,9,7
04/13/2015 06:00:00 PM,4,1,3
04/13/2015 07:00:00 PM,2,2,0
04/13/2015 08:00:00 PM,0,0,0
04/13/2015 09:00:00 PM,0,0,0
04/13/2015 10:00:00 PM,0,0,0
04/13/2015 11:00:00 PM,0,0,0
04/14/2015 12:00:00 AM,0,0,0
04/14/2015 01:00:00 AM,0,0,0
04/14/2015 02:00:00 AM,0,0,0
04/14/2015 03:00:00 AM,0,0,0
04/14/2015 04:00:00 AM,0,0,0
04/14/2015 05:00:00 AM,0,0,0
04/14/2015 06:00:00 AM,0,0,0
04/14/2015 07:00:00 AM,2,1,1
04/14/2015 08:00:00 AM,10,4,6
04/14/2015 09:00:00 AM,6,3,3
04/14/2015 10:00:00 AM,2,0,2
04/14/2015 11:00:00 AM,12,4,8
04/14/2015 12:00:00 PM,13,7,6
04/14/2015 01:00:00 PM,5,4,1
04/14/2015 02:00:00 PM,11,6,5
04/14/2015 03:00:00 PM,7,2,5
04/14/2015 04:00:00 PM,2,1,1
04/14/2015 05:00:00 PM,17,12,5
04/14/2015 06:00:00 PM,11,4,7
04/14/2015 07:00:00 PM,5,2,3
04/14/2015 08:00:00 PM,4,3,1
04/14/2015 09:00:00 PM,6,5,1
04/14/2015 10:00:00 PM,1,1,0
04/14/2015 11:00:00 PM,2,2,0
04/15/2015 12:00:00 AM,0,0,0
04/15/2015 01:00:00 AM,1,1,0
04/15/2015 02:00:00 AM,0,0,0
04/15/2015 03:00:00 AM,0,0,0
04/15/2015 04:00:00 AM,0,0,0
04/15/2015 05:00:00 AM,0,0,0
04/15/2015 06:00:00 AM,1,0,1
04/15/2015 07:00:00 AM,6,4,2
04/15/2015 08:00:00 AM,10,5,5
04/15/2015 09:00:00 AM,7,3,4
04/15/2015 10:00:00 AM,2,2,0
04/15/2015 11:00:00 AM,10,5,5
04/15/2015 12:00:00 PM,7,5,2
04/15/2015 01:00:00 PM,13,6,7
04/15/2015 02:00:00 PM,3,2,1
04/15/2015 03:00:00 PM,6,2,4
04/15/2015 04:00:00 PM,14,10,4
04/15/2015 05:00:00 PM,6,3,3
04/15/2015 06:00:00 PM,0,0,0
04/15/2015 07:00:00 PM,0,0,0
04/15/2015 08:00:00 PM,0,0,0
04/15/2015 09:00:00 PM,0,0,0
04/15/2015 10:00:00 PM,0,0,0
04/15/2015 11:00:00 PM,0,0,0
04/16/2015 12:00:00 AM,0,0,0
04/16/2015 01:00:00 AM,0,0,0
04/16/2015 02:00:00 AM,0,0,0
04/16/2015 03:00:00 AM,0,0,0
04/16/2015 04:00:00 AM,0,0,0
04/16/2015 05:00:00 AM,0,0,0
04/16/2015 06:00:00 AM,0,0,0
04/16/2015 07:00:00 AM,5,3,2
04/16/2015 08:00:00 AM,4,1,3
04/16/2015 09:00:00 AM,18,6,12
04/16/2015 10:00:00 AM,7,4,3
04/16/2015 11:00:00 AM,7,4,3
04/16/2015 12:00:00 PM,7,4,3
04/16/2015 01:00:00 PM,20,12,8
04/16/2015 02:00:00 PM,7,2,5
04/16/2015 03:00:00 PM,9,5,4
04/16/2015 04:00:00 PM,12,8,4
04/16/2015 05:00:00 PM,14,8,6
04/16/2015 06:00:00 PM,17,10,7
04/16/2015 07:00:00 PM,10,3,7
04/16/2015 08:00:00 PM,3,1,2
04/16/2015 09:00:00 PM,1,0,1
04/16/2015 10:00:00 PM,2,2,0
04/16/2015 11:00:00 PM,3,3,0
04/17/2015 12:00:00 AM,4,1,3
04/17/2015 01:00:00 AM,0,0,0
04/17/2015 02:00:00 AM,1,0,1
04/17/2015 03:00:00 AM,0,0,0
04/17/2015 04:00:00 AM,0,0,0
04/17/2015 05:00:00 AM,1,0,1
04/17/2015 06:00:00 AM,2,2,0
04/17/2015 07:00:00 AM,7,3,4
04/17/2015 08:00:00 AM,3,1,2
04/17/2015 09:00:00 AM,5,1,4
04/17/2015 10:00:00 AM,2,0,2
04/17/2015 11:00:00 AM,13,6,7
04/17/2015 12:00:00 PM,18,10,8
04/17/2015 01:00:00 PM,6,1,5
04/17/2015 02:00:00 PM,13,8,5
04/17/2015 03:00:00 PM,5,4,1
04/17/2015 04:00:00 PM,15,5,10
04/17/2015 05:00:00 PM,12,10,2
04/17/2015 06:00:00 PM,12,3,9
04/17/2015 07:00:00 PM,13,6,7
04/17/2015 08:00:00 PM,0,0,0
04/17/2015 09:00:00 PM,2,0,2
04/17/2015 10:00:00 PM,2,1,1
04/17/2015 11:00:00 PM,1,0,1
04/18/2015 12:00:00 AM,3,2,1
04/18/2015 01:00:00 AM,2,1,1
04/18/2015 02:00:00 AM,1,0,1
04/18/2015 03:00:00 AM,0,0,0
04/18/2015 04:00:00 AM,2,1,1
04/18/2015 05:00:00 AM,0,0,0
04/18/2015 06:00:00 AM,0,0,0
04/18/2015 07:00:00 AM,1,1,0
04/18/2015 08:00:00 AM,2,1,1
04/18/2015 09:00:00 AM,8,3,5
04/18/2015 10:00:00 AM,8,2,6
04/18/2015 11:00:00 AM,21,6,15
04/18/2015 12:00:00 PM,19,6,13
04/18/2015 01:00:00 PM,15,4,11
04/18/2015 02:00:00 PM,15,12,3
04/18/2015 03:00:00 PM,13,3,10
04/18/2015 04:00:00 PM,22,14,8
04/18/2015 05:00:00 PM,10,9,1
04/18/2015 06:00:00 PM,0,0,0
04/18/2015 07:00:00 PM,0,0,0
04/18/2015 08:00:00 PM,0,0,0
04/18/2015 09:00:00 PM,0,0,0
04/18/2015 10:00:00 PM,0,0,0
04/18/2015 11:00:00 PM,0,0,0
04/19/2015 12:00:00 AM,0,0,0
04/19/2015 01:00:00 AM,0,0,0
04/19/2015 02:00:00 AM,0,0,0
04/19/2015 03:00:00 AM,0,0,0
04/19/2015 04:00:00 AM,0,0,0
04/19/2015 05:00:00 AM,0,0,0
04/19/2015 06:00:00 AM,0,0,0
04/19/2015 07:00:00 AM,1,0,1
04/19/2015 08:00:00 AM,3,1,2
04/19/2015 09:00:00 AM,8,3,5
04/19/2015 10:00:00 AM,11,7,4
04/19/2015 11:00:00 AM,22,4,18
04/19/2015 12:00:00 PM,14,4,10
04/19/2015 01:00:00 PM,0,0,0
04/19/2015 02:00:00 PM,14,6,8
04/19/2015 03:00:00 PM,17,8,9
04/19/2015 04:00:00 PM,20,13,7
04/19/2015 05:00:00 PM,12,5,7
04/19/2015 06:00:00 PM,10,4,6
04/19/2015 07:00:00 PM,18,10,8
04/19/2015 08:00:00 PM,2,0,2
04/19/2015 09:00:00 PM,0,0,0
04/19/2015 10:00:00 PM,0,0,0
04/19/2015 11:00:00 PM,0,0,0
04/20/2015 12:00:00 AM,0,0,0
04/20/2015 01:00:00 AM,4,0,4
04/20/2015 02:00:00 AM,0,0,0
04/20/2015 03:00:00 AM,0,0,0
04/20/2015 04:00:00 AM,0,0,0
04/20/2015 05:00:00 AM,0,0,0
04/20/2015 06:00:00 AM,2,1,1
04/20/2015 07:00:00 AM,6,0,6
04/20/2015 08:00:00 AM,12,4,8
04/20/2015 09:00:00 AM,8,3,5
04/20/2015 10:00:00 AM,5,4,1
04/20/2015 11:00:00 AM,7,4,3
04/20/2015 12:00:00 PM,11,8,3
04/20/2015 01:00:00 PM,15,10,5
04/20/2015 02:00:00 PM,21,6,15
04/20/2015 03:00:00 PM,12,7,5
04/20/2015 04:00:00 PM,17,10,7
04/20/2015 05:00:00 PM,22,9,13
04/20/2015 06:00:00 PM,14,9,5
04/20/2015 07:00:00 PM,12,5,7
04/20/2015 08:00:00 PM,7,4,3
04/20/2015 09:00:00 PM,5,2,3
04/20/2015 10:00:00 PM,3,2,1
04/20/2015 11:00:00 PM,0,0,0
04/21/2015 12:00:00 AM,2,2,0
04/21/2015 01:00:00 AM,0,0,0
04/21/2015 02:00:00 AM,0,0,0
04/21/2015 03:00:00 AM,0,0,0
04/21/2015 04:00:00 AM,1,0,1
04/21/2015 05:00:00 AM,0,0,0
04/21/2015 06:00:00 AM,1,1,0
04/21/2015 07:00:00 AM,8,7,1
04/21/2015 08:00:00 AM,9,3,6
04/21/2015 09:00:00 AM,13,4,9
04/21/2015 10:00:00 AM,7,6,1
04/21/2015 11:00:00 AM,11,3,8
04/21/2015 12:00:00 PM,6,5,1
04/21/2015 01:00:00 PM,18,9,9
04/21/2015 02:00:00 PM,3,0,3
04/21/2015 03:00:00 PM,12,7,5
04/21/2015 04:00:00 PM,17,11,6
04/21/2015 05:00:00 PM,9,4,5
04/21/2015 06:00:00 PM,8,1,7
04/21/2015 07:00:00 PM,3,2,1
04/21/2015 08:00:00 PM,3,3,0
04/21/2015 09:00:00 PM,6,5,1
04/21/2015 10:00:00 PM,4,2,2
04/21/2015 11:00:00 PM,0,0,0
04/22/2015 12:00:00 AM,1,0,1
04/22/2015 01:00:00 AM,0,0,0
04/22/2015 02:00:00 AM,2,2,0
04/22/2015 03:00:00 AM,0,0,0
04/22/2015 04:00:00 AM,0,0,0
04/22/2015 05:00:00 AM,0,0,0
04/22/2015 06:00:00 AM,1,0,1
04/22/2015 07:00:00 AM,4,2,2
04/22/2015 08:00:00 AM,7,2,5
04/22/2015 09:00:00 AM,19,8,11
04/22/2015 10:00:00 AM,9,5,4
04/22/2015 11:00:00 AM,7,3,4
04/22/2015 12:00:00 PM,11,8,3
04/22/2015 01:00:00 PM,8,4,4
04/22/2015 02:00:00 PM,6,3,3
04/22/2015 03:00:00 PM,5,4,1
04/22/2015 04:00:00 PM,16,9,7
04/22/2015 05:00:00 PM,13,3,10
04/22/2015 06:00:00 PM,16,8,8
04/22/2015 07:00:00 PM,1,0,1
04/22/2015 08:00:00 PM,7,4,3
04/22/2015 09:00:00 PM,0,0,0
04/22/2015 10:00:00 PM,2,1,1
04/22/2015 11:00:00 PM,0,0,0
04/23/2015 12:00:00 AM,2,1,1
04/23/2015 01:00:00 AM,0,0,0
04/23/2015 02:00:00 AM,0,0,0
04/23/2015 03:00:00 AM,0,0,0
04/23/2015 04:00:00 AM,0,0,0
04/23/2015 05:00:00 AM,1,0,1
04/23/2015 06:00:00 AM,2,0,2
04/23/2015 07:00:00 AM,4,4,0
04/23/2015 08:00:00 AM,11,3,8
04/23/2015 09:00:00 AM,3,1,2
04/23/2015 10:00:00 AM,6,3,3
04/23/2015 11:00:00 AM,7,3,4
04/23/2015 12:00:00 PM,9,6,3
